ÊÐ³¡´úÂë,ºÏÔ¼´úÂë,Ê±¼ä,×îÐÂ,³Ö²Ö,Ôö²Ö,³É½»¶î,³É½»Á¿,¿ª²Ö,Æ½²Ö,³É½»ÀàÐÍ,·½Ïò,ÂòÒ»¼Û,Âò¶þ¼Û,ÂòÈý¼Û,ÂòËÄ¼Û,ÂòÎå¼Û,ÂôÒ»¼Û,Âô¶þ¼Û,ÂôÈý¼Û,ÂôËÄ¼Û,ÂôÎå¼Û,ÂòÒ»Á¿,Âò¶þÁ¿,ÂòÈýÁ¿,ÂòËÄÁ¿,ÂòÎåÁ¿,ÂôÒ»Á¿,Âô¶þÁ¿,ÂôÈýÁ¿,ÂôËÄÁ¿,ÂôÎåÁ¿
sc,ru1301,2012-06-29 07:36:29.500,22770.0000,15932,0,0.0000,0.0000,0,0,¶à»»,B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
sc,ru1301,2012-06-29 08:59:00.500,22565.0000,15958,26,19405900.0000,86.0000,56,30,¿Õ¿ª,S,22555.0000,0.0000,0.0000,0.0000,0.0000,22595.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,1,0,0,0,0
sc,ru1301,2012-06-29 09:00:00.500,22595.0000,15968,10,2710400.0000,12.0000,11,1,¶à¿ª,B,22560.0000,0.0000,0.0000,0.0000,0.0000,22595.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,6,0,0,0,0
sc,ru1301,2012-06-29 09:00:01.000,22565.0000,15950,-18,7221300.0000,32.0000,7,25,¶àÆ½,S,22565.0000,0.0000,0.0000,0.0000,0.0000,22595.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,4,0,0,0,0
sc,ru1301,2012-06-29 09:00:01.500,22565.0000,15952,2,451300.0000,2.0000,2,0,Ë«¿ª,S,22565.0000,0.0000,0.0000,0.0000,0.0000,22590.0000,0.0000,0.0000,0.0000,0.0000,6,0,0,0,0,3,0,0,0,0
sc,ru1301,2012-06-29 09:00:02.000,22565.0000,15956,4,3159700.0000,14.0000,9,5,¿Õ¿ª,S,22565.0000,0.0000,0.0000,0.0000,0.0000,22590.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,3,0,0,0,0
sc,ru1301,2012-06-29 09:00:02.500,22565.0000,15956,0,451300.0000,2.0000,1,1,¿Õ»»,S,22570.0000,0.0000,0.0000,0.0000,0.0000,22590.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,3,0,0,0,0
sc,ru1301,2012-06-29 09:00:03.000,22585.0000,15958,2,1354500.0000,6.0000,4,2,¶à¿ª,B,22565.0000,0.0000,0.0000,0.0000,0.0000,22585.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,ru1301,2012-06-29 09:00:03.500,22560.0000,15958,0,1353800.0000,6.0000,3,3,¿Õ»»,S,22560.0000,0.0000,0.0000,0.0000,0.0000,22565.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,2,0,0,0,0
sc,ru1301,2012-06-29 09:00:04.000,22565.0000,15960,2,451300.0000,2.0000,2,0,Ë«¿ª,B,22560.0000,0.0000,0.0000,0.0000,0.0000,22580.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,1,0,0,0,0
