ÊÐ³¡´úÂë,ºÏÔ¼´úÂë,Ê±¼ä,×îÐÂ,³Ö²Ö,Ôö²Ö,³É½»¶î,³É½»Á¿,¿ª²Ö,Æ½²Ö,³É½»ÀàÐÍ,·½Ïò,ÂòÒ»¼Û,Âò¶þ¼Û,ÂòÈý¼Û,ÂòËÄ¼Û,ÂòÎå¼Û,ÂôÒ»¼Û,Âô¶þ¼Û,ÂôÈý¼Û,ÂôËÄ¼Û,ÂôÎå¼Û,ÂòÒ»Á¿,Âò¶þÁ¿,ÂòÈýÁ¿,ÂòËÄÁ¿,ÂòÎåÁ¿,ÂôÒ»Á¿,Âô¶þÁ¿,ÂôÈýÁ¿,ÂôËÄÁ¿,ÂôÎåÁ¿
sc,wr1301,2012-06-29 07:36:29.500,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
sc,wr1301,2012-06-29 08:59:00.500,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,4100.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,0,0,0
sc,wr1301,2012-06-29 09:00:01.000,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4100.0000,0.0000,0.0000,0.0000,0.0000,11,0,0,0,0,1,0,0,0,0
sc,wr1301,2012-06-29 09:00:02.000,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4095.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,2,0,0,0,0
sc,wr1301,2012-06-29 09:00:13.000,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4095.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,2,0,0,0,0
sc,wr1301,2012-06-29 09:00:14.500,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4094.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
sc,wr1301,2012-06-29 09:00:15.500,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4094.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
sc,wr1301,2012-06-29 09:00:16.500,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4089.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,2,0,0,0,0
sc,wr1301,2012-06-29 09:00:33.500,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4089.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,2,0,0,0,0
sc,wr1301,2012-06-29 09:00:35.000,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4088.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
sc,wr1301,2012-06-29 09:00:36.000,4008.0000,10,0,0.0000,0.0000,0,0,¿Õ»»,S,3824.0000,0.0000,0.0000,0.0000,0.0000,4088.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
