市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
sc,wr1305,2012-06-29 07:36:29.500,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
sc,wr1305,2012-06-29 08:59:00.500,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,0,0,0,0,0
sc,wr1305,2012-06-29 09:00:01.000,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4000.0000,0.0000,0.0000,0.0000,0.0000,4332.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,4,0,0,0,0
sc,wr1305,2012-06-29 09:00:01.500,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4000.0000,0.0000,0.0000,0.0000,0.0000,4332.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,11,0,0,0,0
sc,wr1305,2012-06-29 09:00:02.000,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4332.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,11,0,0,0,0
sc,wr1305,2012-06-29 09:00:03.000,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4330.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,wr1305,2012-06-29 09:00:06.500,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4330.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,wr1305,2012-06-29 09:00:07.000,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4330.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,6,0,0,0,0
sc,wr1305,2012-06-29 09:00:12.000,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4330.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,6,0,0,0,0
sc,wr1305,2012-06-29 09:00:18.500,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4310.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,7,0,0,0,0
sc,wr1305,2012-06-29 09:00:19.500,4128.0000,18,0,0.0000,0.0000,0,0,多换,B,4005.0000,0.0000,0.0000,0.0000,0.0000,4308.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
