ÊÐ³¡´úÂë,ºÏÔ¼´úÂë,Ê±¼ä,×îÐÂ,³Ö²Ö,Ôö²Ö,³É½»¶î,³É½»Á¿,¿ª²Ö,Æ½²Ö,³É½»ÀàÐÍ,·½Ïò,ÂòÒ»¼Û,Âò¶þ¼Û,ÂòÈý¼Û,ÂòËÄ¼Û,ÂòÎå¼Û,ÂôÒ»¼Û,Âô¶þ¼Û,ÂôÈý¼Û,ÂôËÄ¼Û,ÂôÎå¼Û,ÂòÒ»Á¿,Âò¶þÁ¿,ÂòÈýÁ¿,ÂòËÄÁ¿,ÂòÎåÁ¿,ÂôÒ»Á¿,Âô¶þÁ¿,ÂôÈýÁ¿,ÂôËÄÁ¿,ÂôÎåÁ¿
sc,zn1301,2012-06-29 07:36:29.500,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
sc,zn1301,2012-06-29 08:59:00.500,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14320.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,1,0,0,0,0
sc,zn1301,2012-06-29 09:00:01.000,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14325.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,1,0,0,0,0
sc,zn1301,2012-06-29 09:00:01.500,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14330.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,1,0,0,0,0
sc,zn1301,2012-06-29 09:00:02.000,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14330.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,1,0,0,0,0
sc,zn1301,2012-06-29 09:00:02.500,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14330.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:03.000,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14335.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,10,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:03.500,14455.0000,2488,0,0.0000,0.0000,0,0,¶à»»,B,14335.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,11,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:04.000,14335.0000,2488,0,286700.0000,4.0000,2,2,¿Õ»»,S,14335.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,9,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:06.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14335.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,14,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:06.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14335.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,14,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:09.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14350.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,5,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:10.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14355.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:11.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14355.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:12.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14355.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:12.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14355.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:13.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14355.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:13.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14355.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:14.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14360.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:14.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14360.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:15.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14360.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:15.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14340.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,5,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:16.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14345.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:16.500,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14345.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,2,0,0,0,0
sc,zn1301,2012-06-29 09:00:17.000,14335.0000,2488,0,0.0000,0.0000,0,0,¿Õ»»,S,14350.0000,0.0000,0.0000,0.0000,0.0000,14440.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,2,0,0,0,0
