市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
sc,zn1306,2012-06-29 07:36:29.500,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
sc,zn1306,2012-06-29 08:59:00.500,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14000.0000,0.0000,0.0000,0.0000,0.0000,15500.0000,0.0000,0.0000,0.0000,0.0000,4,0,0,0,0,4,0,0,0,0
sc,zn1306,2012-06-29 09:00:01.000,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14005.0000,0.0000,0.0000,0.0000,0.0000,15495.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,2,0,0,0,0
sc,zn1306,2012-06-29 09:00:01.500,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14010.0000,0.0000,0.0000,0.0000,0.0000,15495.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,3,0,0,0,0
sc,zn1306,2012-06-29 09:00:03.000,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14010.0000,0.0000,0.0000,0.0000,0.0000,15490.0000,0.0000,0.0000,0.0000,0.0000,8,0,0,0,0,10,0,0,0,0
sc,zn1306,2012-06-29 09:00:03.500,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14015.0000,0.0000,0.0000,0.0000,0.0000,15490.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,10,0,0,0,0
sc,zn1306,2012-06-29 09:00:04.000,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14015.0000,0.0000,0.0000,0.0000,0.0000,15485.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,8,0,0,0,0
sc,zn1306,2012-06-29 09:00:04.500,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14015.0000,0.0000,0.0000,0.0000,0.0000,15485.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,8,0,0,0,0
sc,zn1306,2012-06-29 09:00:05.000,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14020.0000,0.0000,0.0000,0.0000,0.0000,15485.0000,0.0000,0.0000,0.0000,0.0000,10,0,0,0,0,8,0,0,0,0
sc,zn1306,2012-06-29 09:00:05.500,14720.0000,4,0,0.0000,0.0000,0,0,空换,S,14025.0000,0.0000,0.0000,0.0000,0.0000,15480.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,1,0,0,0,0
