ÊÐ³¡´úÂë,ºÏÔ¼´úÂë,Ê±¼ä,×îÐÂ,³Ö²Ö,Ôö²Ö,³É½»¶î,³É½»Á¿,¿ª²Ö,Æ½²Ö,³É½»ÀàÐÍ,·½Ïò,ÂòÒ»¼Û,Âò¶þ¼Û,ÂòÈý¼Û,ÂòËÄ¼Û,ÂòÎå¼Û,ÂôÒ»¼Û,Âô¶þ¼Û,ÂôÈý¼Û,ÂôËÄ¼Û,ÂôÎå¼Û,ÂòÒ»Á¿,Âò¶þÁ¿,ÂòÈýÁ¿,ÂòËÄÁ¿,ÂòÎåÁ¿,ÂôÒ»Á¿,Âô¶þÁ¿,ÂôÈýÁ¿,ÂôËÄÁ¿,ÂôÎåÁ¿
zc,WT209,2012-06-26 07:56:35.243,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 07:58:35.243,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 08:03:35.243,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 08:09:36.867,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 08:55:02.103,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 08:56:34.587,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 08:58:34.837,0.0000,2022,0,0.0000,0.0000,0,0,¿Õ»»,S,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0
zc,WT209,2012-06-26 08:59:01.603,2175.0000,2014,-8,0.0000,24.0000,8,16,¿ÕÆ½,B,2173.0000,0.0000,0.0000,0.0000,0.0000,2175.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,3,0,0,0,0
zc,WT209,2012-06-26 08:59:36.853,2175.0000,2014,0,0.0000,0.0000,0,0,¶à»»,B,2173.0000,0.0000,0.0000,0.0000,0.0000,2175.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,3,0,0,0,0
zc,WT209,2012-06-26 09:00:07.557,2176.0000,2012,-2,0.0000,8.0000,3,5,¿ÕÆ½,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2177.0000,0.0000,0.0000,0.0000,0.0000,26,0,0,0,0,2,0,0,0,0
zc,WT209,2012-06-26 09:00:09.510,2177.0000,2012,0,0.0000,4.0000,2,2,¶à»»,B,2177.0000,0.0000,0.0000,0.0000,0.0000,2178.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,6,0,0,0,0
zc,WT209,2012-06-26 09:00:10.227,2177.0000,2014,2,0.0000,6.0000,4,2,¶à¿ª,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2178.0000,0.0000,0.0000,0.0000,0.0000,25,0,0,0,0,6,0,0,0,0
zc,WT209,2012-06-26 09:00:10.743,2177.0000,2014,0,0.0000,0.0000,0,0,¶à»»,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2178.0000,0.0000,0.0000,0.0000,0.0000,25,0,0,0,0,10,0,0,0,0
zc,WT209,2012-06-26 09:00:12.057,2177.0000,2014,0,0.0000,0.0000,0,0,¶à»»,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2177.0000,0.0000,0.0000,0.0000,0.0000,25,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:00:20.557,2177.0000,2014,0,0.0000,0.0000,0,0,¶à»»,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2177.0000,0.0000,0.0000,0.0000,0.0000,25,0,0,0,0,3,0,0,0,0
zc,WT209,2012-06-26 09:00:21.243,2177.0000,2014,0,0.0000,0.0000,0,0,¶à»»,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2177.0000,0.0000,0.0000,0.0000,0.0000,25,0,0,0,0,6,0,0,0,0
zc,WT209,2012-06-26 09:00:22.213,2177.0000,2014,0,0.0000,0.0000,0,0,¶à»»,B,2176.0000,0.0000,0.0000,0.0000,0.0000,2177.0000,0.0000,0.0000,0.0000,0.0000,25,0,0,0,0,5,0,0,0,0
zc,WT209,2012-06-26 09:00:31.993,2176.0000,2012,-2,0.0000,2.0000,0,2,Ë«Æ½,S,2176.0000,0.0000,0.0000,0.0000,0.0000,2177.0000,0.0000,0.0000,0.0000,0.0000,24,0,0,0,0,5,0,0,0,0
zc,WT209,2012-06-26 09:00:33.993,2176.0000,1972,-40,0.0000,48.0000,4,44,¶àÆ½,S,2174.0000,0.0000,0.0000,0.0000,0.0000,2176.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:00:36.493,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2174.0000,0.0000,0.0000,0.0000,0.0000,2176.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,2,0,0,0,0
zc,WT209,2012-06-26 09:00:47.540,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2174.0000,0.0000,0.0000,0.0000,0.0000,2176.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,7,0,0,0,0
zc,WT209,2012-06-26 09:00:48.010,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2173.0000,0.0000,0.0000,0.0000,0.0000,2176.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,6,0,0,0,0
zc,WT209,2012-06-26 09:00:53.290,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2173.0000,0.0000,0.0000,0.0000,0.0000,2175.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:01:05.760,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2173.0000,0.0000,0.0000,0.0000,0.0000,2174.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:01:26.947,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2173.0000,0.0000,0.0000,0.0000,0.0000,2174.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,2,0,0,0,0
zc,WT209,2012-06-26 09:01:31.993,2176.0000,1972,0,0.0000,0.0000,0,0,¿Õ»»,S,2173.0000,0.0000,0.0000,0.0000,0.0000,2174.0000,0.0000,0.0000,0.0000,0.0000,13,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:01:43.227,2173.0000,1952,-20,0.0000,20.0000,0,20,Ë«Æ½,S,2173.0000,0.0000,0.0000,0.0000,0.0000,2174.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:02:04.963,2173.0000,1952,0,0.0000,6.0000,3,3,¿Õ»»,S,2171.0000,0.0000,0.0000,0.0000,0.0000,2173.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:02:07.493,2173.0000,1952,0,0.0000,0.0000,0,0,¿Õ»»,S,2171.0000,0.0000,0.0000,0.0000,0.0000,2173.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,2,0,0,0,0
zc,WT209,2012-06-26 09:02:27.180,2173.0000,1952,0,0.0000,0.0000,0,0,¿Õ»»,S,2172.0000,0.0000,0.0000,0.0000,0.0000,2173.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,2,0,0,0,0
zc,WT209,2012-06-26 09:02:32.477,2173.0000,1952,0,0.0000,4.0000,2,2,¿Õ»»,S,2172.0000,0.0000,0.0000,0.0000,0.0000,2174.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:03:09.727,2173.0000,1952,0,0.0000,0.0000,0,0,¿Õ»»,S,2172.0000,0.0000,0.0000,0.0000,0.0000,2175.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,1,0,0,0,0
zc,WT209,2012-06-26 09:03:47.213,2173.0000,1952,0,0.0000,0.0000,0,0,¿Õ»»,S,2172.0000,0.0000,0.0000,0.0000,0.0000,2175.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,6,0,0,0,0
zc,WT209,2012-06-26 09:04:00.213,2173.0000,1952,0,0.0000,0.0000,0,0,¿Õ»»,S,2172.0000,0.0000,0.0000,0.0000,0.0000,2175.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,16,0,0,0,0
zc,WT209,2012-06-26 09:04:12.447,2171.0000,1948,-4,0.0000,10.0000,3,7,¶àÆ½,S,2166.0000,0.0000,0.0000,0.0000,0.0000,2170.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,15,0,0,0,0
zc,WT209,2012-06-26 09:04:20.150,2171.0000,1948,0,0.0000,0.0000,0,0,¿Õ»»,S,2167.0000,0.0000,0.0000,0.0000,0.0000,2170.0000,0.0000,0.0000,0.0000,0.0000,5,0,0,0,0,15,0,0,0,0
